rank,word,freq,reason,subtype,all_reasons,engine_ipa,engine_guess,candidates,question,verdict
313,פארשטיי,101,alef-default,alef-vowel+pe-default,"alef-default,pe-default",farʃtˈaj,faRSHTAY,faRSHTAY | FUrshtay | PArshtay,the unpointed א: faRSHTAY (a as in 'father') or FUrshtay (u as in 'put')? — or an o (o as in 'law')? the פ: f (faRSHTAY) or p (PArshtay)?,
314,גאלדמאן,100,alef-default,alef-vowel,alef-default,ɡˈaldman,GAldman,GAldman | GUldmun,the unpointed א: GAldman (a as in 'father') or GUldmun (u as in 'put')? — or an o (o as in 'law')?,
315,גשמיות,100,oov-lk,oov-lk,lk-fallback,ɡʃmjis,gshmyis,gshmyis | geshemyis,our guess: gshmyis — or geshemyis? How do you say it?,
316,העלפט,100,pe-default,pe-default,pe-default,hɛlft,helft,helft | helpt,the פ: f (helft) or p (helpt)?,
317,חיי,100,oov-lk,oov-lk,lk-fallback,xaj,khay,khay,our guess: khay? How do you say it?,
318,ראשונים,100,alef-default,alef-vowel,alef-default,rˈaʃinim,RAshinim,RAshinim | RUshinim,the unpointed א: RAshinim (a as in 'father') or RUshinim (u as in 'put')? — or an o (o as in 'law')?,
319,אלוקינו,99,alef-default,alef-vowel,alef-default,ˈalikini,Alikini,Alikini | Ulikini,the unpointed א: Alikini (a as in 'father') or Ulikini (u as in 'put')? — or an o (o as in 'law')?,
320,בארדיטשעווער,99,alef-default,alef-vowel,alef-default,bardˈiʧəvər,baRDItshever,baRDItshever | BUrditshever,the unpointed א: baRDItshever (a as in 'father') or BUrditshever (u as in 'put')? — or an o (o as in 'law')?,
321,בהמות,99,oov-lk,oov-lk,lk-fallback,bhmis,bhmis,bhmis | behemis,our guess: bhmis — or behemis? How do you say it?,
322,ופלא,97,alef-default,alef-final+pe-default,"alef-default,pe-default",ˈifla,Ifla,ifle | ifla | iflu | ifl | Ifla | Ipla,"the א at the end: ifle (…-e), ifla (…-a), iflu (…-u) — or silent (ifl)? the פ: f (Ifla) or p (Ipla)?",
323,מאור,97,alef-default,alef-vowel,alef-default,mir,mir,MAIr | MUIr,the unpointed א: MAIr (a as in 'father') or MUIr (u as in 'put')? — or an o (o as in 'law')?,
324,אשרי,96,alef-default,alef-vowel,alef-default,ˈaʃri,Ashri,Ashri | Ushri,the unpointed א: Ashri (a as in 'father') or Ushri (u as in 'put')? — or an o (o as in 'law')?,
325,געענטפערט,96,pe-default,pe-default,pe-default,ɡˈejntfərt,GEYntfert,GEYntfert | GEYntpert,the פ: f (GEYntfert) or p (GEYntpert)?,
326,וואגן,96,alef-default,alef-vowel,alef-default,vaɡn,vagn,vagn | vugn,the unpointed א: vagn (a as in 'father') or vugn (u as in 'put')? — or an o (o as in 'law')?,
327,סקווירא,96,alef-default,alef-final,alef-default,skvˈira,SKVIra,skvire | skvira | skviru | skvir,"the א at the end: skvire (…-e), skvira (…-a), skviru (…-u) — or silent (skvir)?",
328,שינאווער,96,alef-default,alef-vowel,alef-default,ʃˈinavər,SHInaver,SHInaver | SHInuver,the unpointed א: SHInaver (a as in 'father') or SHInuver (u as in 'put')? — or an o (o as in 'law')?,
329,טענות,95,oov-lk,oov-lk,lk-fallback,tˈɛnis,TEnis,TEnis | tenis,our guess: TEnis — or tenis? How do you say it?,
330,רואיג,95,alef-default,alef-vowel,alef-default,rˈiaːɡ,RIAg,RIAg | RIUYg,the unpointed א: RIAg (a as in 'father') or RIUYg (u as in 'put')? — or an o (o as in 'law')?,
331,אייביק,94,alef-default,alef-silent,alef-default,ˈajbik,AYbik,,we say **AYbik** — right?,
332,אש,94,alef-default,alef-vowel,alef-default,aʃ,ash,ash | ush,the unpointed א: ash (a as in 'father') or ush (u as in 'put')? — or an o (o as in 'law')?,
333,מוח,94,oov-lk,oov-lk,lk-fallback,mix,mikh,mikh,our guess: mikh? How do you say it?,
334,אויסגערעכנט,93,alef-default,alef-silent,alef-default,ˈoʊzɡərəxnt,OUzgerekhnt,,we say **OUzgerekhnt** — right?,
335,אויסלייזן,93,alef-default,alef-silent,alef-default,ˈoʊslajzn,OUslayzn,,we say **OUslayzn** — right?,
336,אנטקעגן,93,alef-default,alef-vowel,alef-default,ˈantkəɡn,Antkegn,Antkegn | Untkegn,the unpointed א: Antkegn (a as in 'father') or Untkegn (u as in 'put')? — or an o (o as in 'law')?,
337,ביינאכט,93,alef-default,alef-vowel,alef-default,bˈajnaxt,BAYnakht,BAYnakht | BAYnukht,the unpointed א: BAYnakht (a as in 'father') or BAYnukht (u as in 'put')? — or an o (o as in 'law')?,
338,פֿינף,93,pe-default,pe-default,pe-default,finf,finf,,the פ/ף — f or p?,
339,צעבראכן,93,alef-default,alef-vowel,alef-default,ʦəbrˈaxn,tseBRAkhn,tseBRAkhn | tseBRUkhn,the unpointed א: tseBRAkhn (a as in 'father') or tseBRUkhn (u as in 'put')? — or an o (o as in 'law')?,
340,ראיה,93,alef-default,alef-vowel,alef-default,rˈaːə,RAE,RAE | RUYE,the unpointed א: RAE (a as in 'father') or RUYE (u as in 'put')? — or an o (o as in 'law')?,
341,אבי,92,alef-default,alef-vowel,alef-default,ˈabi,Abi,Abi | Ubi,the unpointed א: Abi (a as in 'father') or Ubi (u as in 'put')? — or an o (o as in 'law')?,
342,באלד,92,alef-default,alef-vowel,alef-default,bald,bald,bald | buld,the unpointed א: bald (a as in 'father') or buld (u as in 'put')? — or an o (o as in 'law')?,
343,ויאמר,91,alef-default,alef-vowel,alef-default,ˈɔjamr,OYAmr,OYAmr | OYUmr,the unpointed א: OYAmr (a as in 'father') or OYUmr (u as in 'put')? — or an o (o as in 'law')?,
344,פילן,91,pe-default,pe-default,pe-default,filn,filn,filn | piln,the פ: f (filn) or p (piln)?,
345,אינז,90,alef-default,alef-silent,alef-default,inz,inz,,we say **inz** — right?,
346,געווארט,90,alef-default,alef-vowel,alef-default,ɡəvˈart,geVArt,geVArt | geVUrt,the unpointed א: geVArt (a as in 'father') or geVUrt (u as in 'put')? — or an o (o as in 'law')?,
347,געלאפן,90,alef-default,alef-vowel+pe-default,"alef-default,pe-default",ɡəlˈafn,geLAfn,geLAfn | geLUfn | geLApn,the unpointed א: geLAfn (a as in 'father') or geLUfn (u as in 'put')? — or an o (o as in 'law')? the פ: f (geLAfn) or p (geLApn)?,
348,הפלא,90,alef-default,alef-final+pe-default,"alef-default,pe-default",hfla,hfla,hfle | hfla | hflu | hpla,"the א at the end: hfle (…-e), hfla (…-a), hflu (…-u) — or silent (hfla)? the פ: f (hfla) or p (hpla)?",
349,מאה,90,alef-default,alef-vowel,alef-default,ma,ma,,"the unpointed א — a, u or o?",
350,אבן,89,alef-default,alef-vowel,alef-default,abn,abn,abn | ubn,the unpointed א: abn (a as in 'father') or ubn (u as in 'put')? — or an o (o as in 'law')?,
351,אפענע,89,alef-default,alef-vowel+pe-default,"alef-default,pe-default",ˈafənə,Afene,Afene | Ufene | Apene,the unpointed א: Afene (a as in 'father') or Ufene (u as in 'put')? — or an o (o as in 'law')? the פ: f (Afene) or p (Apene)?,
352,זושא,89,alef-default,alef-final,alef-default,zˈiʃa,ZIsha,zishe | zisha | zishu | zish,"the א at the end: zishe (…-e), zisha (…-a), zishu (…-u) — or silent (zish)?",
353,פוילן,89,pe-default,pe-default,pe-default,fɔjln,foyln,foyln | poyln,the פ: f (foyln) or p (poyln)?,
354,אודער,88,alef-default,alef-silent,alef-default,ˈidər,Ider,,we say **Ider** — right?,
355,איינציקע,88,alef-default,alef-silent,alef-default,ˈajnʦikə,AYntsike,,we say **AYntsike** — right?,
356,אלי,88,alef-default,alef-vowel,alef-default,ˈali,Ali,Ali | Uli,the unpointed א: Ali (a as in 'father') or Uli (u as in 'put')? — or an o (o as in 'law')?,
357,פארקויפן,88,alef-default,alef-vowel+pe-default,"alef-default,pe-default",farkˈɔjfn,faRKOYfn,faRKOYfn | FUrkoyfn | PArkoypn,the unpointed א: faRKOYfn (a as in 'father') or FUrkoyfn (u as in 'put')? — or an o (o as in 'law')? the פ: f (faRKOYfn) or p (PArkoypn)?,
358,שפראך,88,alef-default,alef-vowel+pe-default,"alef-default,pe-default",ʃprax,shprakh,shprakh | shprukh | shfrakh,the unpointed א: shprakh (a as in 'father') or shprukh (u as in 'put')? — or an o (o as in 'law')? the פ: f (shfrakh) or p (shprakh)?,
359,איבערגעדרייט,87,alef-default,alef-silent,alef-default,ˈibərɡədrajt,Ibergedrayt,,we say **Ibergedrayt** — right?,
360,באגראבן,87,alef-default,alef-vowel,alef-default,baɡrˈabn,baGRAbn,baGRAbn | BUgrubn,the unpointed א: baGRAbn (a as in 'father') or BUgrubn (u as in 'put')? — or an o (o as in 'law')?,
361,געשעפט,87,pe-default,pe-default,pe-default,ɡəʃˈɛft,geSHEft,geSHEft | geSHEpt,the פ: f (geSHEft) or p (geSHEpt)?,
362,פארדעם,87,alef-default,alef-vowel+pe-default,"alef-default,pe-default",fardˈɛm,faRDEm,faRDEm | FUrdem | PArdem,the unpointed א: faRDEm (a as in 'father') or FUrdem (u as in 'put')? — or an o (o as in 'law')? the פ: f (faRDEm) or p (PArdem)?,
363,אומזיסט,86,alef-default,alef-silent,alef-default,imzˈist,iMZIst,,we say **iMZIst** — right?,
364,ארויסגעגאנגען,86,alef-default,alef-vowel,alef-default,arˈoʊzɡəɡanɡən,aROUzgegangen,aROUzgegangen | Uroyzgegungen,the unpointed א: aROUzgegangen (a as in 'father') or Uroyzgegungen (u as in 'put')? — or an o (o as in 'law')?,
365,מאוד,86,alef-default,alef-vowel,alef-default,mid,mid,MAId | MUId,the unpointed א: MAId (a as in 'father') or MUId (u as in 'put')? — or an o (o as in 'law')?,
366,פארברענט,86,alef-default,alef-vowel+pe-default,"alef-default,pe-default",farbrˈɛnt,faRBREnt,faRBREnt | fuRBREnt | paRBREnt,the unpointed א: faRBREnt (a as in 'father') or fuRBREnt (u as in 'put')? — or an o (o as in 'law')? the פ: f (faRBREnt) or p (paRBREnt)?,
367,פוסק,86,pe-default,pe-default,pe-default,fisk,fisk,fisk | pisk,the פ: f (fisk) or p (pisk)?,
368,פערציק,86,pe-default,pe-default,pe-default,fˈɛrʦik,FErtsik,FErtsik | PErtsik,the פ: f (FErtsik) or p (PErtsik)?,
369,שמש,86,oov-lk,oov-lk,lk-fallback,ʃmʃ,shmsh,shmsh | shemesh,our guess: shmsh — or shemesh? How do you say it?,
370,אייר,85,alef-default,alef-silent,alef-default,ajr,ayr,,we say **ayr** — right?,
371,בעת,85,oov-lk,oov-lk,lk-fallback,bɛs,bes,bes,our guess: bes? How do you say it?,
372,דשמיא,85,alef-default,alef-final,alef-default,dʃmˈia,DSHMIA,dshmie | dshmia | dshmiu | dshmi,"the א at the end: dshmie (…-e), dshmia (…-a), dshmiu (…-u) — or silent (dshmi)?",
373,געעפנט,84,pe-default,pe-default,pe-default,ɡejfnt,geyfnt,geyfnt | geypnt,the פ: f (geyfnt) or p (geypnt)?,
374,געקויפט,84,pe-default,pe-default,pe-default,ɡəkˈɔjft,geKOYft,geKOYft | geKOYpt,the פ: f (geKOYft) or p (geKOYpt)?,
375,גראמען,84,alef-default,alef-vowel,alef-default,ɡrˈamən,GRAmen,GRAmen | GRUmen,the unpointed א: GRAmen (a as in 'father') or GRUmen (u as in 'put')? — or an o (o as in 'law')?,
376,ירא,84,alef-default,alef-final,alef-default,ˈira,Ira,ire | ira | iru | ir,"the א at the end: ire (…-e), ira (…-a), iru (…-u) — or silent (ir)?",
377,לאו,84,alef-default,alef-vowel,alef-default,li,li,LAI | LUI,the unpointed א: LAI (a as in 'father') or LUI (u as in 'put')? — or an o (o as in 'law')?,
378,אהבה,83,alef-default,alef-vowel,alef-default,ˈabə,Abe,Abe | Ube,the unpointed א: Abe (a as in 'father') or Ube (u as in 'put')? — or an o (o as in 'law')?,
379,אויסגעזען,83,alef-default,alef-silent,alef-default,ˈoʊzɡəzən,OUzgezen,,we say **OUzgezen** — right?,
380,אי,83,alef-default,alef-silent,"alef-default,vowel-ratio",j,y,,we say **y** — right?,
381,אלטן,83,alef-default,alef-vowel,alef-default,altn,altn,altn | ultn,the unpointed א: altn (a as in 'father') or ultn (u as in 'put')? — or an o (o as in 'law')?,
382,ארויפלייגן,83,alef-default,alef-vowel+pe-default,"alef-default,pe-default",arˈoʊflajɡn,aROUflaygn,aROUflaygn | Uroyflaygn | Aroyplaygn,the unpointed א: aROUflaygn (a as in 'father') or Uroyflaygn (u as in 'put')? — or an o (o as in 'law')? the פ: f (aROUflaygn) or p (Aroyplaygn)?,
383,ווארעמע,83,alef-default,alef-vowel,alef-default,vˈarəmə,VAreme,VAreme | VUreme,the unpointed א: VAreme (a as in 'father') or VUreme (u as in 'put')? — or an o (o as in 'law')?,
384,ענטפערן,83,pe-default,pe-default,pe-default,ˈɛntfərn,Entfern,Entfern | Entpern,the פ: f (Entfern) or p (Entpern)?,
385,ראובן,83,alef-default,alef-vowel,alef-default,ribn,ribn,RAIbn | RUIbn,the unpointed א: RAIbn (a as in 'father') or RUIbn (u as in 'put')? — or an o (o as in 'law')?,
386,שטראף,83,alef-default,alef-vowel+pe-default,"alef-default,pe-default",ʃtraf,shtraf,shtraf | shtruf,the unpointed א: shtraf (a as in 'father') or shtruf (u as in 'put')? — or an o (o as in 'law')? the פ/ף — f or p?,
387,אומר,82,alef-default,alef-silent,alef-default,imr,imr,,we say **imr** — right?,
388,אנטשולדיגט,82,alef-default,alef-vowel,alef-default,ˈanʧildiɡt,Antshildigt,Antshildigt | Untshildigt,the unpointed א: Antshildigt (a as in 'father') or Untshildigt (u as in 'put')? — or an o (o as in 'law')?,
389,טאר,82,alef-default,alef-vowel,alef-default,tar,tar,tar | tur,the unpointed א: tar (a as in 'father') or tur (u as in 'put')? — or an o (o as in 'law')?,
390,קאלט,82,alef-default,alef-vowel,alef-default,kalt,kalt,kalt | kult,the unpointed א: kalt (a as in 'father') or kult (u as in 'put')? — or an o (o as in 'law')?,
391,אומגעקומען,81,alef-default,alef-silent,alef-default,ˈimɡəkimən,Imgekimen,,we say **Imgekimen** — right?,
392,אונדזער,81,alef-default,alef-silent,alef-default,ˈindzər,Indzer,,we say **Indzer** — right?,
393,נפשי,81,pe-default,pe-default,pe-default,nfʃi,nfshi,nfshi | npshi,the פ: f (nfshi) or p (npshi)?,
394,צופרידן,81,pe-default,pe-default,pe-default,ʦˈifridn,TSIfridn,TSIfridn | TSIpridn,the פ: f (TSIfridn) or p (TSIpridn)?,
395,שפילט,81,pe-default,pe-default,pe-default,ʃpilt,shpilt,shfilt | shpilt,the פ: f (shfilt) or p (shpilt)?,
396,אפגעשטעלט,80,alef-default,alef-vowel+pe-default,"alef-default,pe-default",ˈɔpɡəʃtəlt,Opgeshtelt,Opgeshtelt | Ufgeshtelt | Apgeshtelt,the unpointed א: Opgeshtelt (a as in 'father') or Ufgeshtelt (u as in 'put')? — or an o (o as in 'law')? the פ: f (Opgeshtelt) or p (Apgeshtelt)?,
397,כוונות,80,oov-lk,oov-lk,lk-fallback,xvnis,khvnis,khvnis | khevenis,our guess: khvnis — or khevenis? How do you say it?,
398,פעלד,80,pe-default,pe-default,pe-default,fɛld,feld,feld | peld,the פ: f (feld) or p (peld)?,
399,אויסגעשטעלט,79,alef-default,alef-silent,alef-default,ˈoʊzɡəʃtəlt,OUzgeshtelt,,we say **OUzgeshtelt** — right?,
400,אנו,79,alef-default,alef-vowel,alef-default,ˈani,Ani,Ani | Uni,the unpointed א: Ani (a as in 'father') or Uni (u as in 'put')? — or an o (o as in 'law')?,
